id,latitude,longitude,code_postal,region,ville
1,46.999873398,6.498147193,25650,bourgogne-franche-comté,ville du pont
2,47.361512085,6.235167025,25640,bourgogne-franche-comté,villers grelot
3,47.368383721,6.871414913,25310,bourgogne-franche-comté,villars les blamont
4,46.713906258,6.26583065,25240,bourgogne-franche-comté,les villedieu
5,47.228558434,5.852186748,25170,bourgogne-franche-comté,villers buzon
6,47.240809828,6.473842387,25510,bourgogne-franche-comté,villers la combe
7,46.901588322,6.045328224,25270,bourgogne-franche-comté,villers sous chalamont
8,47.473552905,6.782505604,25420,bourgogne-franche-comté,voujeaucourt
9,49.460193485,3.756684634,2860,hauts-de-france,bouconville vauclair
10,49.067056293,3.316703204,2400,hauts-de-france,bouresches
11,49.742857871,3.399923608,2240,hauts-de-france,brissy hamegicourt
12,49.110351585,3.153350725,2810,hauts-de-france,brumetz
13,49.771382057,4.186261479,2360,hauts-de-france,brunehamel
14,49.387973822,3.398519722,2880,hauts-de-france,bucy le long
15,49.617755672,3.121707969,2300,hauts-de-france,caillouel crepigny
16,49.52049848,3.127624347,2300,hauts-de-france,camelin
17,49.450196586,3.679121433,2860,hauts-de-france,cerny en laonnois
18,49.598625529,3.671806573,2000,hauts-de-france,chambry
19,49.70058224,3.985961293,2340,hauts-de-france,chaourse
20,49.650915124,3.384799677,2800,hauts-de-france,charmes
21,49.315257363,3.252722944,2200,hauts-de-france,chaudun
22,49.619538899,3.219139283,2300,hauts-de-france,chauny
23,49.126870891,3.168015889,2810,hauts-de-france,chezy en orxois
24,49.532848303,3.585053697,2000,hauts-de-france,chivy les etouvelles
25,49.367262408,3.467612315,2220,hauts-de-france,ciry salsogne
26,49.749158544,3.230539083,2440,hauts-de-france,clastres
27,49.513778836,3.727459479,2860,hauts-de-france,montchalons
28,49.489769799,3.655508134,2860,hauts-de-france,monthenault
29,49.122370638,3.107996308,2810,hauts-de-france,montigny l allier
30,49.372578828,3.099063795,2290,hauts-de-france,montigny lengrain
31,49.292397628,3.582216807,2220,hauts-de-france,mont notre dame
32,49.792702607,4.210227315,2360,hauts-de-france,mont st jean
33,49.278626123,3.434628893,2210,hauts-de-france,muret et crouttes
34,48.999750332,3.44605178,2400,hauts-de-france,nesles la montagne
35,49.436580849,4.024031385,2190,hauts-de-france,neufchatel sur aisne
36,50.008566787,3.809358313,2170,hauts-de-france,le nouvion en thierache
37,49.614542455,3.191108052,2300,hauts-de-france,ognes
38,49.375881407,4.016154951,2190,hauts-de-france,orainville
39,49.399369702,3.237910386,2290,hauts-de-france,osly courtil
40,49.46035579,3.649818372,2860,hauts-de-france,pancy courtecon
41,50.017614944,3.880061553,2260,hauts-de-france,papleux
42,49.270195121,3.329041936,2210,hauts-de-france,parcy et tigny
43,49.538438581,3.703323738,2840,hauts-de-france,parfondru
44,48.954292173,3.563228277,2330,hauts-de-france,pargny la dhuys
45,49.73198721,3.617572589,2270,hauts-de-france,pargny les bois
46,49.794619132,3.564481061,2240,hauts-de-france,parpeville
47,48.957893106,3.469516322,2540,hauts-de-france,viffort
48,49.170863583,3.4754559240000003,2130,hauts-de-france,villeneuve sur fere
49,49.779716306,3.09133152,2590,hauts-de-france,villers st christophe
50,49.948014627,3.997490476,2500,hauts-de-france,wimy
51,44.793514305,6.025693765,5800,provence-alpes-côte d'azur,st firmin en valgodemard
52,49.739164547,3.866951038,2250,hauts-de-france,bosmont sur serre
53,49.378528828,3.846143285,2160,hauts-de-france,bouffignereux
54,49.543351686,3.154672717,2300,hauts-de-france,bourguignon sous coucy
55,49.516508164,3.412722641,2320,hauts-de-france,brancourt en laonnois
56,49.437398745,3.609863828,2000,hauts-de-france,braye en laonnois
57,49.368284047,3.54436136,2220,hauts-de-france,brenelle
58,49.597375488,3.473167317,2870,hauts-de-france,brie
59,49.883202459,3.713383147,2120,hauts-de-france,wiege faty
60,49.524775786,3.669533869,2860,hauts-de-france,bruyeres et montberault
61,49.52049848,3.127624347,2300,hauts-de-france,camelin
62,49.800742628,3.253372217,2680,hauts-de-france,castres
63,49.508011773,3.522228189,2000,hauts-de-france,chaillevois
64,44.814986241,4.42533053,7190,auvergne-rhône-alpes,albon d ardeche
65,49.377956997,3.5022180460000003,2370,hauts-de-france,chassemy
66,49.056425662,3.381541175,2400,hauts-de-france,chateau thierry
67,45.24633989,4.651027131,7100,auvergne-rhône-alpes,annonay
68,49.761912822,3.702869899,2270,hauts-de-france,chatillon les sons
69,49.793931936,3.416909399,2240,hauts-de-france,chatillon sur oise
70,49.255681433,3.604732022,2220,hauts-de-france,chery chartreuve
71,44.425050124,4.184546969,7140,auvergne-rhône-alpes,les assions
72,49.648935895,3.593859599,2000,hauts-de-france,chery les pouilly
73,44.869254781,4.511902169,7190,auvergne-rhône-alpes,beauvene
74,49.930254202,3.776579181,2120,hauts-de-france,chigny
75,49.749214967,3.840427798,2250,hauts-de-france,cilly
76,44.337648804,4.298027723,7150,auvergne-rhône-alpes,bessas
77,45.267247358,4.64531343,7100,auvergne-rhône-alpes,boulieu les annonay
78,44.688564128,4.546249145,7000,auvergne-rhône-alpes,freyssenet
79,44.421176818,4.071956856,7140,auvergne-rhône-alpes,gravieres
80,44.503712977,4.288051747,7110,auvergne-rhône-alpes,laurac en vivarais
81,44.47842111,4.050331709,7140,auvergne-rhône-alpes,malarce sur la thines
